,sc,gs,num,auroc,aupr,conf_score,epr
0,hESC,Cell_type_specific,500,0.5009238003909335,0.16479975967618846,0.37514146739415993,1.056751467710372
1,hESC,Cell_type_specific,1000,0.49335412720812777,0.1625295842078088,0.018267422437629962,1.587301587301587
2,hESC,Non_specific,500,0.47323613716518154,0.014990476989440399,5.596124012526514e-06,0.6993006993006993
3,hESC,Non_specific,1000,0.46036226065600006,0.012464292300946247,7.377105119132709e-15,0.8795074758135444
4,hESC,STRING,500,0.5459156452556191,0.02810040917093891,19.98200669017313,1.2281530467642892
5,hESC,STRING,1000,0.5537296121229799,0.02471479260658413,20.479187549916823,1.2093726379440666
6,mDC,Cell_type_specific,500,0.4939556535658687,0.081125586615339,0.09516161725599678,0.0
7,mDC,Cell_type_specific,1000,0.4940375424888631,0.08190049274595676,0.16100071309688985,1.25
8,mDC,Non_specific,500,0.4878097215765927,0.018199843443374192,0.002641211848098862,0.1453488372093023
9,mDC,Non_specific,1000,0.4973164780679331,0.015473103646473507,0.09809077749784544,0.4535147392290249
10,mDC,STRING,500,0.5264872499437795,0.040761372804194354,20.36323169155709,0.14204545454545456
11,mDC,STRING,1000,0.5308592328858508,0.03531945511028718,20.435727996498876,0.25720164609053503
